HGNC ID	Approved symbol	Approved name	Status	NCBI Gene ID
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved	1
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	503538
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved	29974
HGNC:6	A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)	Symbol Withdrawn	
HGNC:7	A2M	alpha-2-macroglobulin	Approved	2
HGNC:27057	A2M-AS1	A2M antisense RNA 1	Approved	144571
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Approved	144568
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	Approved	
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	Approved	
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	Approved	3
HGNC:9	A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)	Symbol Withdrawn	
HGNC:10	A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)	Symbol Withdrawn	
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Approved	127550
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	Approved	53947
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Approved	51146
HGNC:1	A12M1	adenovirus-12 chromosome modification site 1C	Entry Withdrawn	
HGNC:2	A12M2	adenovirus-12 chromosome modification site 1A	Entry Withdrawn	
HGNC:3	A12M3	adenovirus-12 chromosome modification site 1B	Entry Withdrawn	
HGNC:4	A12M4	adenovirus-12 chromosome modification site 17	Entry Withdrawn	
HGNC:11	AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)	Symbol Withdrawn	
HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved	8086
HGNC:12	AABT	amino acid transport, beta	Entry Withdrawn	
HGNC:13	AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)	Symbol Withdrawn	
HGNC:14	AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)	Symbol Withdrawn	
